,br,inserent_plz,title,inserent_location,clicks7d,label,lat,lng
194,40986084,74172,Systems Management Specialist (w/m/d),Neckarsulm,35,0,49.1942456,9.2351573
195,43548073,60486,Maßnahmenleiter (w/m/d) Planung und Bau Wärmenetz,Frankfurt,47,0,50.1130657,8.6252221
196,43088184,79115,Systemingenieur (m/w/d) für Safety- und Zuverlässigkeitsprozesse,Freiburg,18,0,47.99036390000001,7.820171299999998
197,36006005,94032,Projektassistenz am Lehrstuhl für Informatik mit Schwerpunkt Rechnernetze und Rechnerkommunikation (m/w/d),Passau,24,0,48.5718453,13.4607296
198,36553883,97877,Produktmanager (m/w/d) - Schwerpunkt Software,Wertheim,28,0,49.7338642,9.4743245
199,40432574,33100,Kompakt,Paderborn,0,0,51.7212792,8.834156199999999
200,40931792,76131,Teamleiter Softwareentwicklung / Java (m/w/d),Karlsruhe,43,0,49.0116951,8.4303821
201,36702107,83313,Personalreferent (m/w/d) mit Schwerpunkt Controlling,Siegsdorf,16,0,47.8073797,12.6648284
202,40448377,60486,Domain Architect Kundendaten (w/m/d),Frankfurt am Main,31,0,50.1130657,8.6252221
203,36906827,60325,Trainee Finance Consulting (m/w/d) vom Bachelor zum Master mit unserem praxisorientierten Traineeprogramm,Frankfurt,24,0,50.1157078,8.6591469
204,35938805,24103,Chemielaborantin / Chemielaborant bzw. Chemisch-technische Assistentin / Chemisch-technischer Assistent (w/m/d),Kiel,77,0,54.323924,10.1315442
205,39381346,97318,Lead Expert Functional Safety (m/w/d),Kitzingen,32,0,49.7451277,10.1875151
206,41440754,65189,"Betriebs- oder Energiewirtschaftler (m/w/d) für Absatzstrategie und Qualitätsmanagement im Bereich Strom, Erdgas und Wärme",Wiesbaden,36,0,50.0726721,8.2570237
207,42658373,85774,(Junior) Steuerreferent Umsatzsteuer (m/w/d),Unterföhring,27,0,48.1918216,11.6569449
208,38251498,52525,Experte Operational Excellence (w/m/d),Waldfeucht,31,0,51.04119379999999,6.104102
209,39781325,50679,Techn. Trainee (m/w/d) in der EMSR-Technik,Köln,31,0,50.934707,6.9759562
210,39391067,93053,IT-Applikationsspezialist (m/w/d),Regensburg,31,0,48.9882219,12.1020638
211,40147203,50679,Tiefbaufacharbeiter:in (m/w/d),Köln,17,0,50.934707,6.9759562
212,35844797,64293,Pflegekräfte (m/w/d),Darmstadt,43,0,49.87763469999999,8.6285366
213,37574796,42281,Fernwärmemonteur*in,Wuppertal,26,0,51.2866862,7.188234700000001
214,43331522,45879,Meister / Techniker / Polier (m/w/d) Planung / Arbeitsvorbereitung Netzprojekte Strom,Gelsenkirchen,42,0,51.5084358,7.097707
215,39229817,40589,Systembibliothekar (d/m/w),Düsseldorf,27,0,51.1640762,6.821441999999999
216,41966991,77781,Einkäufer (m/w/d),Biberach,25,0,48.3390059,8.031707299999999
217,38073598,12529,Spezialist (m/w/d) CAD-Gebäudedaten,Schönefeld,34,0,52.3690709,13.5016479
218,37208058,48155,Stellvertretende Studioleitung / Filialleitung (m/w/d),Münster,47,0,51.94751609999999,7.6603488
219,35920932,80992,Spezialist*in (m/w/d) Wärme- und Kälteisoliertechnik sowie Brandschutz,München,23,0,48.1757295,11.5182935
220,37129797,71093,Mitarbeiter (m/w/d)  Kundenservice Innendienst,Weil im Schönbuch,27,0,48.613717,9.0657204
221,38506057,21509,Accounting Project & Process Manager* (m/w/d),Glinde,28,0,53.5447292,10.2167335
222,35771399,74321,Hardwarekonstrukteur (m/w/d),Bietigheim-Bissingen,23,0,48.95356820000001,9.1241772
223,38941021,64293,Teamleiterin (m/w/d)  - General Ledger,Darmstadt,37,0,49.87763469999999,8.6285366
224,39156605,70736,Mitarbeiter (w/m/d) im Postmanagement,Fellbach,27,0,48.8405086,9.2677632
225,42389897,86156,Pflegefachmann / Gesundheits- und Krankenpfleger (m/w/d) - ohne Wochenend- & Feiertagsdienste,Augsburg,26,0,48.3920947,10.8553557
226,37371329,33098,Technischer Produktentwickler (m/w/d),Paderborn,25,0,51.7113515,8.754257599999999
227,41092374,55131,Pflegefachkraft (m/w/d),Mainz,20,0,49.9889241,8.2716688
228,37117746,25337,"Teamleitung untere Bauaufsicht (Beamter, Architekt, Bauingenieur, Stadtplaner o.Ä.) (m/w/d)",Elmshorn,48,0,53.75073020000001,9.7178209
229,42113765,14482,Informationsmanager (w/m/d),Potsdam,33,0,52.3875629,13.1028717
230,40976467,85435,Leiter (m/w/d) Immobilienkunden,Erding,21,0,48.31025289999999,11.925775
